CD_GCUF,NM_UF,NM_UF_SIGLA,CD_GCMUN,NM_MUN_2016
11,Rondônia,RO,110001,ALTA FLORESTA D'OESTE
11,Rondônia,RO,110002,ARIQUEMES
11,Rondônia,RO,110003,CABIXI
11,Rondônia,RO,110004,CACOAL
11,Rondônia,RO,110005,CEREJEIRAS
11,Rondônia,RO,110006,COLORADO DO OESTE
11,Rondônia,RO,110007,CORUMBIARA
11,Rondônia,RO,110008,COSTA MARQUES
11,Rondônia,RO,110009,ESPIGÃO D'OESTE
11,Rondônia,RO,110010,GUAJARÁ-MIRIM
11,Rondônia,RO,110011,JARU
11,Rondônia,RO,110012,JI-PARANÁ
11,Rondônia,RO,110013,MACHADINHO D'OESTE
11,Rondônia,RO,110014,NOVA BRASILÂNDIA D'OESTE
11,Rondônia,RO,110015,OURO PRETO DO OESTE
11,Rondônia,RO,110018,PIMENTA BUENO
11,Rondônia,RO,110020,PORTO VELHO
11,Rondônia,RO,110025,PRESIDENTE MÉDICI
11,Rondônia,RO,110026,RIO CRESPO
11,Rondônia,RO,110028,ROLIM DE MOURA
11,Rondônia,RO,110029,SANTA LUZIA D'OESTE
11,Rondônia,RO,110030,VILHENA
11,Rondônia,RO,110032,SÃO MIGUEL DO GUAPORÉ
11,Rondônia,RO,110033,NOVA MAMORÉ
11,Rondônia,RO,110034,ALVORADA D'OESTE
11,Rondônia,RO,110037,ALTO ALEGRE DOS PARECIS
11,Rondônia,RO,110040,ALTO PARAÍSO
11,Rondônia,RO,110045,BURITIS
11,Rondônia,RO,110050,NOVO HORIZONTE DO OESTE
11,Rondônia,RO,110060,CACAULÂNDIA
11,Rondônia,RO,110070,CAMPO NOVO DE RONDÔNIA
11,Rondônia,RO,110080,CANDEIAS DO JAMARI
11,Rondônia,RO,110090,CASTANHEIRAS
11,Rondônia,RO,110092,CHUPINGUAIA
11,Rondônia,RO,110094,CUJUBIM
11,Rondônia,RO,110100,GOVERNADOR JORGE TEIXEIRA
11,Rondônia,RO,110110,ITAPUÃ DO OESTE
11,Rondônia,RO,110120,MINISTRO ANDREAZZA
11,Rondônia,RO,110130,MIRANTE DA SERRA
11,Rondônia,RO,110140,MONTE NEGRO
11,Rondônia,RO,110143,NOVA UNIÃO
11,Rondônia,RO,110145,PARECIS
11,Rondônia,RO,110146,PIMENTEIRAS DO OESTE
11,Rondônia,RO,110147,PRIMAVERA DE RONDÔNIA
11,Rondônia,RO,110148,SÃO FELIPE D'OESTE
11,Rondônia,RO,110149,SÃO FRANCISCO DO GUAPORÉ
11,Rondônia,RO,110150,SERINGUEIRAS
11,Rondônia,RO,110155,TEIXEIRÓPOLIS
11,Rondônia,RO,110160,THEOBROMA
11,Rondônia,RO,110170,URUPÁ
11,Rondônia,RO,110175,VALE DO ANARI
11,Rondônia,RO,110180,VALE DO PARAÍSO
12,Acre,AC,120001,ACRELÂNDIA
12,Acre,AC,120005,ASSIS BRASIL
12,Acre,AC,120010,BRASILÉIA
12,Acre,AC,120013,BUJARI
12,Acre,AC,120017,CAPIXABA
12,Acre,AC,120020,CRUZEIRO DO SUL
12,Acre,AC,120025,EPITACIOLÂNDIA
12,Acre,AC,120030,FEIJÓ
12,Acre,AC,120032,JORDÃO
12,Acre,AC,120033,MÂNCIO LIMA
12,Acre,AC,120034,MANOEL URBANO
12,Acre,AC,120035,MARECHAL THAUMATURGO
12,Acre,AC,120038,PLÁCIDO DE CASTRO
12,Acre,AC,120039,PORTO WALTER
12,Acre,AC,120040,RIO BRANCO
12,Acre,AC,120042,RODRIGUES ALVES
12,Acre,AC,120043,SANTA ROSA DO PURUS
12,Acre,AC,120045,SENADOR GUIOMARD
12,Acre,AC,120050,SENA MADUREIRA
12,Acre,AC,120060,TARAUACÁ
12,Acre,AC,120070,XAPURI
12,Acre,AC,120080,PORTO ACRE
13,Amazonas,AM,130002,ALVARÃES
13,Amazonas,AM,130006,AMATURÁ
13,Amazonas,AM,130008,ANAMÃ
13,Amazonas,AM,130010,ANORI
13,Amazonas,AM,130014,APUÍ
13,Amazonas,AM,130020,ATALAIA DO NORTE
13,Amazonas,AM,130030,AUTAZES
13,Amazonas,AM,130040,BARCELOS
13,Amazonas,AM,130050,BARREIRINHA
13,Amazonas,AM,130060,BENJAMIN CONSTANT
13,Amazonas,AM,130063,BERURI
13,Amazonas,AM,130068,BOA VISTA DO RAMOS
13,Amazonas,AM,130070,BOCA DO ACRE
13,Amazonas,AM,130080,BORBA
13,Amazonas,AM,130083,CAAPIRANGA
13,Amazonas,AM,130090,CANUTAMA
13,Amazonas,AM,130100,CARAUARI
13,Amazonas,AM,130110,CAREIRO
13,Amazonas,AM,130115,CAREIRO DA VÁRZEA
13,Amazonas,AM,130120,COARI
13,Amazonas,AM,130130,CODAJÁS
13,Amazonas,AM,130140,EIRUNEPÉ
13,Amazonas,AM,130150,ENVIRA
13,Amazonas,AM,130160,FONTE BOA
13,Amazonas,AM,130165,GUAJARÁ
13,Amazonas,AM,130170,HUMAITÁ
13,Amazonas,AM,130180,IPIXUNA
13,Amazonas,AM,130185,IRANDUBA
13,Amazonas,AM,130190,ITACOATIARA
13,Amazonas,AM,130195,ITAMARATI
13,Amazonas,AM,130200,ITAPIRANGA
13,Amazonas,AM,130210,JAPURÁ
13,Amazonas,AM,130220,JURUÁ
13,Amazonas,AM,130230,JUTAÍ
13,Amazonas,AM,130240,LÁBREA
13,Amazonas,AM,130250,MANACAPURU
13,Amazonas,AM,130255,MANAQUIRI
13,Amazonas,AM,130260,MANAUS
13,Amazonas,AM,130270,MANICORÉ
13,Amazonas,AM,130280,MARAÃ
13,Amazonas,AM,130290,MAUÉS
13,Amazonas,AM,130300,NHAMUNDÁ
13,Amazonas,AM,130310,NOVA OLINDA DO NORTE
13,Amazonas,AM,130320,NOVO AIRÃO
13,Amazonas,AM,130330,NOVO ARIPUANÃ
13,Amazonas,AM,130340,PARINTINS
13,Amazonas,AM,130350,PAUINI
13,Amazonas,AM,130353,PRESIDENTE FIGUEIREDO
13,Amazonas,AM,130356,RIO PRETO DA EVA
13,Amazonas,AM,130360,SANTA ISABEL DO RIO NEGRO
13,Amazonas,AM,130370,SANTO ANTÔNIO DO IÇÁ
13,Amazonas,AM,130380,SÃO GABRIEL DA CACHOEIRA
13,Amazonas,AM,130390,SÃO PAULO DE OLIVENÇA
13,Amazonas,AM,130395,SÃO SEBASTIÃO DO UATUMÃ
13,Amazonas,AM,130400,SILVES
13,Amazonas,AM,130406,TABATINGA
13,Amazonas,AM,130410,TAPAUÁ
13,Amazonas,AM,130420,TEFÉ
13,Amazonas,AM,130423,TONANTINS
13,Amazonas,AM,130426,UARINI
13,Amazonas,AM,130430,URUCARÁ
13,Amazonas,AM,130440,URUCURITUBA
14,Roraima,RR,140002,AMAJARI
14,Roraima,RR,140005,ALTO ALEGRE
14,Roraima,RR,140010,BOA VISTA
14,Roraima,RR,140015,BONFIM
14,Roraima,RR,140017,CANTÁ
14,Roraima,RR,140020,CARACARAÍ
14,Roraima,RR,140023,CAROEBE
14,Roraima,RR,140028,IRACEMA
14,Roraima,RR,140030,MUCAJAÍ
14,Roraima,RR,140040,NORMANDIA
14,Roraima,RR,140045,PACARAIMA
14,Roraima,RR,140047,RORAINÓPOLIS
14,Roraima,RR,140050,SÃO JOÃO DA BALIZA
14,Roraima,RR,140060,SÃO LUIZ
14,Roraima,RR,140070,UIRAMUTÃ
15,Pará,PA,150010,ABAETETUBA
15,Pará,PA,150013,ABEL FIGUEIREDO
15,Pará,PA,150020,ACARÁ
15,Pará,PA,150030,AFUÁ
15,Pará,PA,150034,ÁGUA AZUL DO NORTE
15,Pará,PA,150040,ALENQUER
15,Pará,PA,150050,ALMEIRIM
15,Pará,PA,150060,ALTAMIRA
15,Pará,PA,150070,ANAJÁS
15,Pará,PA,150080,ANANINDEUA
15,Pará,PA,150085,ANAPU
15,Pará,PA,150090,AUGUSTO CORRÊA
15,Pará,PA,150095,AURORA DO PARÁ
15,Pará,PA,150100,AVEIRO
15,Pará,PA,150110,BAGRE
15,Pará,PA,150120,BAIÃO
15,Pará,PA,150125,BANNACH
15,Pará,PA,150130,BARCARENA
15,Pará,PA,150140,BELÉM
15,Pará,PA,150145,BELTERRA
15,Pará,PA,150150,BENEVIDES
15,Pará,PA,150157,BOM JESUS DO TOCANTINS
15,Pará,PA,150160,BONITO
15,Pará,PA,150170,BRAGANÇA
15,Pará,PA,150172,BRASIL NOVO
15,Pará,PA,150175,BREJO GRANDE DO ARAGUAIA
15,Pará,PA,150178,BREU BRANCO
15,Pará,PA,150180,BREVES
15,Pará,PA,150190,BUJARU
15,Pará,PA,150195,CACHOEIRA DO PIRIÁ
15,Pará,PA,150200,CACHOEIRA DO ARARI
